order_id,distance
d8175252a4e35affdae9e3d36cbe3e83,657
d81873131923e5aa4f6dc362f77116a2,996
d8193633632c69edb143c6f25250fbc9,312
d819490edd3b5a3d69b114bb1eed977e,567
d81b4394870364ad09c029cc7d9814a3,9.8
d81dff089ae648dacea746f77643f86e,111
d81e1aea4814c6e5744458bcd1f94693,599
d81e6712eb9cf9f1fcc36ef44e2a19a2,620
d81f58104990dbe67a63f3001b38b218,1955
d81f982649f082683c9221af29ba1b51,181
d82197665b49263e8815437c1e860b1c,668
d821b5e67b0018013d207479dfdfccd6,466
d821c07a40e746ac3f4ae3799b19ddee,438
d822122b00c0dbaddd3694846fdc262c,406
d82255dd8d216b8577f8f2527ce817a1,2028
d824a4f31c8c8abaf5c415c8dd473a59,389
d8253682886103126c169f93e8b46349,655
d827e1e47dc185687102015449ff2e4a,17
d82845f8b7ebd4d9b7ebae995e0ff08b,163
d828aed67bd4b1f7ba6e6ca5b5fb241f,1022
d828baeaa3a4bf3f9f4e239432e1987b,2348
d828bfc73f08a09b4d5e7fc4671917ab,69.9
d829ae9ca5e0a9749f2574b62eb7ac10,1143
d82a297437092371e1c2278befb2314b,1864
d82b18538d54e63389c7a2a8bf8a875d,856
d82b278ce974fb241a84117441013d91,866
d82b6e7da21a039639022ad9e9bc3e56,496
d82c41502ff72f11870b7546659bc8d4,672
d82c5f84358d79a603ddd499e2ab9d22,1301
d82cef48824870df9946d57e827ed727,13.6
d82ef777bb562af6d9a927bd6f3e7357,246
d82f458128cce1940c20471a5664179d,124
d82fd3fc3c5ceb51ec5f5db847dbe0a9,16.4
d831255ebb12ef3a8d6dddb6fb54b5c8,2984
d832359622f08c2364e168e1f01cc6e6,807
d83268beec893067aeef7a062622d721,421
d8337c037ad19b2a0b903ccfc3e06464,719
d836abb4444d8594455e9766104e958c,75.8
d836fc392b89243c807bf3366c68fbee,380
d83706c29baf36eedf5e8adfb0da304e,945
d8378bb103de9b68884b9e4cd2a8dbca,339
d8383347058bc8ff0edb2af23159641d,98.9
d838d4f27cfd8fefb3ad286dda195b12,624
d838f9be69c8307b383f766fb85ce761,1023
d8393142319e943a9b883adab79e9561,42.5
d839387d867d8d152843b37c4b8b09e8,233
d839772496ba5c5962003617c00e695d,418
d83a0ada4f4e91a7aa41547a8b5f8295,456
d83aba07ceeacfba5b6edc931e9fb9a3,721
d83ba33f7128e7d87dd7709a58cd0a2e,303
d83c0f39f97da394609c05ada10110a8,440
d83c6337cdf106c0818f7cd984240f59,104
d83d299f99cc0cc92038c685c73f60d6,955
d83d59b310da489d03434dc07fdb0d78,825
d83d6b4b12a603ddadd9f182a3cf4608,408
d83d899f5a20b2d05342270eab088987,457
d83db9b9c140ed9b64cf6e636caebb04,1283
d83e73ca49e7e9ec7ba0154139858fc8,932
d83ed20d296bdd288f45b29843643bc9,733
d83f19fa5fce346e31c60b35257f4329,1965
d841db95e26d664b1ea54020b52e8ae5,404
d84217b494046fedbd03da87fe309615,574
d8423fd123c19bd1a0c2a7151c73852f,1302
d8434c09d07ff98eaf30d4b68b5d6cbf,254
d84351a9ee5a7c7b237e3a1480d252d9,420
d8448e657de2d4181e64b8fcf0506e9f,1589
d844cf5434575b8359b353fe82fb8d67,597
d844ebe59ec9b98b8924bd851d0df4f8,48.4
d8457bd7376bc47702228915e4c4f187,2780
d8477e03a0b0c97723a5221b2044f68e,2659
d8480a959e66ee2eb4420d02a097be49,2097
d8482b605eb845605365aeb8cc0fbe2d,109
d8488e5f53e0ae47397ca8f7936acfd0,20.9
d8491c56b44ec1c37341c6cc5c93ad39,876
d849519c380fc7427ba88fc312ade389,1148
d84a72d286117f40da5a05597f25d58d,746
d84b3fdfbb838b26178304662ff635e1,351
d84bc4e5bba5977de1eeadd544c9c770,688
d84c374cdab9d3f9192cf8d42beef6f7,1833
d84ce4acc4a19690d7a7b6f5df4d3023,355
d84d29e12f989c8237aa0f2a2213168e,840
d84d70e52f7b7abba77d84d49d97a134,433
d84dce79fd962faab40bc1d4b084d9d7,929
d84ff9150e7677a1de43990fff1868ef,3209
d851a0d54dfe11f32ecb35bb6c8b8e59,510
d8522b11e5907c0a96797fb0b6835a92,452
d8523695fd09e96dd93c94cde119c037,1124
